sa_id,year,announced,topic,category,module,scope_tier,is_priority,cve,cwe,affects,git_hashes,svn_revisions,github_commit_urls,diff_available,data_quality,advisory_raw_url,source,upstream_path,note,commit_grade
FreeBSD-SA-15:01,2015,2015-01-14,OpenSSL multiple vulnerabilities,contrib,openssl,lib,Yes,CVE-2014-3571; CVE-2015-0206; CVE-2014-3569; CVE-2014-3572; CVE-2015-0204; CVE-2015-0205; CVE-2014-8275; CVE-2014-3570,,All supported versions of FreeBSD.,94ac8ef8f3b0,276865; 277195; 276864,https://github.com/freebsd/freebsd-src/commit/94ac8ef8f3b0a2d0563cecb30cafe80dee3ea710,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-15:01.openssl.asc,,,,medium
FreeBSD-SA-15:02,2015,2015-01-27,SCTP SCTP_SS_VALUE kernel memory corruption and disclosure,core,kmem,kernel,,CVE-2014-8612,,All supported versions of FreeBSD.,a2d70c1b1f6e,277807; 277808,https://github.com/freebsd/freebsd-src/commit/a2d70c1b1f6efee36413d0633aa3915e6c3999d6,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-15:02.kmem.asc,,,,
FreeBSD-SA-15:03,2015,2015-01-27,SCTP stream reset vulnerability,core,sctp,kernel,,CVE-2014-8613,,All supported versions of FreeBSD.,a2d70c1b1f6e,277807; 277808,https://github.com/freebsd/freebsd-src/commit/a2d70c1b1f6efee36413d0633aa3915e6c3999d6,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-15:03.sctp.asc,,,,
FreeBSD-SA-15:04,2015,2015-02-25; Last revised on 2015-04-07,Integer overflow in IGMP protocol,core,igmp,other,,CVE-2015-1414,,All supported versions of FreeBSD.,,281231; 281233; 281230; 281232,,,2,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-15:04.igmp.asc,,,,
FreeBSD-SA-15:06,2015,2015-03-19; Last revised on 2015-03-20.,Multiple OpenSSL vulnerabilities,contrib,openssl,lib,Yes,CVE-2015-0209; CVE-2015-0286; CVE-2015-0287; CVE-2015-0288; CVE-2015-0289; CVE-2015-0293; CVE-2015-0204; CVE-2015-0292,,All supported versions of FreeBSD.,4d7eabc985b2,280274; 280275,https://github.com/freebsd/freebsd-src/commit/4d7eabc985b266b4743bceb9997aedd5828bae14,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-15:06.openssl.asc,,,,focused
FreeBSD-SA-15:08,2015,2015-04-07,Insecure default GELI keyfile permissions,core,bsdinstall,tool,Yes,CVE-2015-1415,,FreeBSD 10.1.,,281230; 281232,,,2,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-15:08.bsdinstall.asc,,,,
FreeBSD-SA-15:09,2015,2015-04-07,Denial of Service with IPv6 Router Advertisements,core,ipv6,kernel,,CVE-2015-2923,,All supported versions of FreeBSD.,a2e7e7b1c2c0,281231; 281233; 281230; 281232,https://github.com/freebsd/freebsd-src/commit/a2e7e7b1c2c0aace6030144c495c0cab81c1837b,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-15:09.ipv6.asc,,,,
FreeBSD-SA-15:10,2015,2015-06-12,Multiple OpenSSL vulnerabilities,contrib,openssl,lib,Yes,CVE-2015-1788; CVE-2015-1789; CVE-2015-1790; CVE-2015-1791; CVE-2015-1792; CVE-2015-4000; CVE-2014-8176,,All supported versions of FreeBSD.,9ab8fb9a4943,284286; 284295; 284285,https://github.com/freebsd/freebsd-src/commit/9ab8fb9a49435f698439f0f08d33444a169626be,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-15:10.openssl.asc,,,,medium
FreeBSD-SA-15:12,2015,2015-07-09,OpenSSL alternate chains certificate forgery vulnerability,contrib,openssl,lib,Yes,CVE-2015-1793,,FreeBSD 10.1-STABLE after 2015-06-11 and prior to the,45c1772ea0e3,285330,https://github.com/freebsd/freebsd-src/commit/45c1772ea0e3,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-15:12.openssl.asc,,,,focused
FreeBSD-SA-15:13,2015,2015-07-21,Resource exhaustion due to sessions stuck in LAST_ACK state,core,tcp,kernel,,CVE-2015-5358,,All supported versions of FreeBSD.,22eb1d6cac2a,285779; 285780; 285778,https://github.com/freebsd/freebsd-src/commit/22eb1d6cac2a0e1836c1ec05c1f3405b02c43079,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-15:13.tcp.asc,,,,
